-1.27,0.18,-0.63
-1.29,0.20,-0.59
-1.30,0.11,-0.63
-1.16,-0.13,-0.51
-1.24,-0.10,-0.51
-1.15,-0.19,-0.47
-1.06,-0.19,-0.40
-0.94,-0.13,-0.45
-0.79,-0.25,-0.32
-0.70,-0.19,-0.46
-0.76,-0.21,-0.36
-0.67,-0.32,-0.41
-0.77,-0.22,-0.45
-0.76,-0.27,-0.40
-0.91,-0.25,-0.56
-1.02,-0.19,-0.58
-0.98,-0.06,-0.75
-0.96,-0.07,-0.69
-1.04,-0.06,-0.79
-0.93,0.00,-0.81
-0.85,0.03,-0.79
-0.80,0.07,-0.72
-0.96,0.00,-0.91
-1.05,0.14,-0.89
-1.06,0.28,-0.95
-1.27,0.32,-1.00
-1.28,0.40,-0.84
-1.41,0.41,-0.87
-1.51,0.43,-1.09
-1.52,0.41,-1.03
-1.62,0.55,-1.21
-1.66,0.53,-1.14
-1.63,0.64,-1.10
-1.60,0.74,-1.32
-1.88,0.83,-1.31
-1.83,0.79,-1.35
-2.07,0.81,-1.34
-2.12,0.85,-1.33
-2.11,0.93,-1.49
-2.33,1.00,-1.58
-2.33,1.30,-1.71
-2.60,1.58,-1.86
-2.91,2.17,-2.06
-3.23,2.61,-2.17
-3.37,2.51,-2.20
-3.30,2.48,-2.45
-3.24,2.00,-2.53
-2.76,1.71,-2.60
-2.69,1.50,-2.69
-2.90,1.56,-2.57
-3.05,1.84,-2.38
-3.53,2.34,-2.37
-3.93,2.60,-2.24
-3.96,2.46,-2.19
-4.19,2.24,-2.12
-4.09,1.86,-1.95
-4.04,1.38,-1.61
-4.21,1.08,-1.40
-4.03,1.00,-0.85
-3.75,0.99,-0.67
-3.93,1.25,-0.54
-3.89,1.43,-0.43
-4.00,1.76,-0.24
-3.88,1.46,-0.09
-3.80,1.05,-0.10
-3.30,0.35,-0.08
-2.46,0.45,-0.32
-3.54,-0.83,-0.03
-2.28,0.01,-0.24
-2.65,-0.45,-0.05
-1.96,0.26,-0.07
-1.58,0.12,-0.12
-1.42,0.32,-0.03
-1.22,0.43,-0.03
-1.23,0.69,-0.31
-1.65,0.70,-0.44
-1.96,0.83,-0.64
-2.43,0.86,-0.74
-2.65,1.00,-0.70
-2.85,0.97,-0.91
-3.04,1.18,-1.08
-2.83,1.23,-1.08
-2.93,1.45,-1.03
-2.76,1.74,-1.08
-2.79,1.88,-1.01
-2.94,2.15,-0.96
-2.83,2.28,-1.01
-2.90,2.38,-0.90
-2.83,2.41,-1.09
-2.54,2.23,-1.12
-2.42,2.14,-1.18
-2.03,1.91,-1.36
-2.12,1.94,-1.27
-2.00,2.03,-1.32
-2.10,2.08,-1.19
-2.27,2.24,-1.19
-2.27,1.80,-1.02
-2.31,1.51,-0.94
-2.13,1.20,-0.84
-1.92,0.95,-0.81
-1.84,0.87,-0.64
-1.81,0.86,-0.50
-2.06,1.26,-0.46
-2.36,1.57,-0.31
-2.85,1.96,-0.26
-2.99,2.14,-0.32
-3.43,2.17,-0.54
-3.58,2.43,-0.66
-3.91,2.38,-0.80
-4.16,2.54,-0.89
-4.31,2.74,-1.02
-4.78,2.78,-1.17
-4.90,2.85,-1.35
-5.25,2.97,-1.41
-5.48,3.03,-1.44
-5.75,3.13,-1.46
-5.83,3.09,-1.57
-6.00,2.99,-1.61
-5.97,2.91,-1.72
-5.84,2.96,-1.72
-5.45,2.76,-1.74
-5.28,2.81,-1.77
-4.63,2.59,-1.69
-4.06,2.39,-1.61
-3.52,2.14,-1.80
-3.01,1.97,-1.61
-2.47,1.85,-1.73
-2.17,1.90,-1.79
-1.61,1.69,-1.60
-1.47,1.62,-1.51
-1.28,1.58,-1.61
-1.31,1.53,-1.47
-1.36,1.62,-1.45
-1.50,1.60,-1.32
-1.69,1.54,-1.24
-1.85,1.48,-1.27
-1.84,1.43,-1.25
-1.79,1.21,-1.27
-1.80,0.91,-1.19
-1.74,0.81,-1.18
-1.65,0.67,-1.04
-1.66,0.72,-0.95
-1.75,0.66,-0.80
-1.83,0.46,-0.85
-1.84,0.52,-0.74
-1.80,0.35,-0.61
-1.79,0.10,-0.48
-1.55,-0.05,-0.45
-1.27,-0.27,-0.13
-1.26,-0.63,-0.14
-1.00,-0.59,0.12
-0.93,-0.95,0.32
-0.88,-1.01,0.50
-0.67,-1.34,0.68
-0.51,-1.46,0.82
-0.50,-1.52,1.04
-0.50,-1.67,1.00
-0.63,-1.68,1.14
-0.77,-1.72,1.09
-0.87,-1.70,1.17
-0.98,-1.69,1.15
-1.13,-1.77,1.35
-0.89,-1.92,1.35
-1.09,-1.96,1.53
-0.84,-2.16,1.58
